Les codes hexas et unicode des caractères usuels, par Nicolas Hoffmann
Code unicode	Code hexa	En clair	Au clavier
&#122;	%7a	z	Alt 122
&#123;	%7b	{	Alt 123
&#124;	%7c	|	Alt 124
&#125;	%7d	}	Alt 125
&#126;	%7e	~	Alt 126
&#127;	%7f		Alt 127
&#128;	%80	€	Alt 0128
&#129;	%81		Alt 0129
&#130;	%82	‚	Alt 0130
&#131;	%83	ƒ	Alt 0131
&#132;	%84	„	Alt 0132
&#133;	%85	…	Alt 0133
&#134;	%86	†	Alt 0134
&#135;	%87	‡	Alt 0135
&#136;	%88	ˆ	Alt 0136
&#137;	%89	‰	Alt 0137
&#138;	%8a	Š	Alt 0138
&#139;	%8b	‹	Alt 0139
&#140;	%8c	Œ	Alt 0140
&#141;	%8d		Alt 0141
&#142;	%8e	Ž	Alt 0142
&#143;	%8f		Alt 0143
&#144;	%90		Alt 0144
&#145;	%91	‘	Alt 0145
&#146;	%92	’	Alt 0146
&#147;	%93	“	Alt 0147
&#148;	%94	”	Alt 0148
&#149;	%95	•	Alt 0149
&#150;	%96	–	Alt 0150
&#151;	%97	—	Alt 0151
&#152;	%98	˜	Alt 0152
&#153;	%99	™	Alt 0153
&#154;	%9a	š	Alt 0154
&#155;	%9b	›	Alt 0155
&#156;	%9c	œ	Alt 0156
&#157;	%9d		Alt 0157
&#158;	%9e	ž	Alt 0158
&#159;	%9f	Ÿ	Alt 0159
&#160;	%a0	 	Alt 0160
&#161;	%a1	¡	Alt 0161
&#162;	%a2	¢	Alt 0162
&#163;	%a3	£	Alt 0163
&#164;	%a4	¤	Alt 0164
&#165;	%a5	¥	Alt 0165
&#166;	%a6	¦	Alt 0166
&#167;	%a7	§	Alt 0167
&#168;	%a8	¨	Alt 0168
&#169;	%a9	©	Alt 0169
&#170;	%aa	ª	Alt 0170
&#171;	%ab	«	Alt 0171
&#172;	%ac	¬	Alt 0172
&#173;	%ad	­	Alt 0173
&#174;	%ae	®	Alt 0174
&#175;	%af	¯	Alt 0175
&#176;	%b0	°	Alt 0176
&#177;	%b1	±	Alt 0177
&#178;	%b2	²	Alt 0178
&#179;	%b3	³	Alt 0179
&#180;	%b4	´	Alt 0180
&#181;	%b5	µ	Alt 0181
&#182;	%b6	¶	Alt 0182
&#183;	%b7	·	Alt 0183
&#184;	%b8	¸	Alt 0184
&#185;	%b9	¹	Alt 0185
&#186;	%ba	º	Alt 0186
&#187;	%bb	»	Alt 0187
&#188;	%bc	¼	Alt 0188
&#189;	%bd	½	Alt 0189
&#190;	%be	¾	Alt 0190
&#191;	%bf	¿	Alt 0191
&#192;	%c0	À	Alt 0192
&#193;	%c1	Á	Alt 0193
&#194;	%c2	Â	Alt 0194
&#195;	%c3	Ã	Alt 0195
&#196;	%c4	Ä	Alt 0196
&#197;	%c5	Å	Alt 0197
&#198;	%c6	Æ	Alt 0198
&#199;	%c7	Ç	Alt 0199
&#200;	%c8	È	Alt 0200
&#201;	%c9	É	Alt 0201
&#202;	%ca	Ê	Alt 0202
&#203;	%cb	Ë	Alt 0203
&#204;	%cc	Ì	Alt 0204
&#205;	%cd	Í	Alt 0205
&#206;	%ce	Î	Alt 0206
&#207;	%cf	Ï	Alt 0207
&#208;	%d0	Ð	Alt 0208
&#209;	%d1	Ñ	Alt 0209
&#210;	%d2	Ò	Alt 0210
&#211;	%d3	Ó	Alt 0211
&#212;	%d4	Ô	Alt 0212
&#213;	%d5	Õ	Alt 0213
&#214;	%d6	Ö	Alt 0214
&#215;	%d7	×	Alt 0215
&#216;	%d8	Ø	Alt 0216
&#217;	%d9	Ù	Alt 0217
&#218;	%da	Ú	Alt 0218
&#219;	%db	Û	Alt 0219
&#220;	%dc	Ü	Alt 0220
&#221;	%dd	Ý	Alt 0221
&#222;	%de	Þ	Alt 0222
&#223;	%df	ß	Alt 0223
&#224;	%e0	à	Alt 0224
&#225;	%e1	á	Alt 0225
&#226;	%e2	â	Alt 0226
&#227;	%e3	ã	Alt 0227
&#228;	%e4	ä	Alt 0228
&#229;	%e5	å	Alt 0229
&#230;	%e6	æ	Alt 0230
&#231;	%e7	ç	Alt 0231
&#232;	%e8	è	Alt 0232
&#233;	%e9	é	Alt 0233
&#234;	%ea	ê	Alt 0234
&#235;	%eb	ë	Alt 0235
&#236;	%ec	ì	Alt 0236
&#237;	%ed	í	Alt 0237
&#238;	%ee	î	Alt 0238
&#239;	%ef	ï	Alt 0239
&#240;	%f0	ð	Alt 0240
&#241;	%f1	ñ	Alt 0241
&#242;	%f2	ò	Alt 0242
&#243;	%f3	ó	Alt 0243
&#244;	%f4	ô	Alt 0244
&#245;	%f5	õ	Alt 0245
&#246;	%f6	ö	Alt 0246
&#247;	%f7	÷	Alt 0247
&#248;	%f8	ø	Alt 0248
&#249;	%f9	ù	Alt 0249
&#250;	%fa	ú	Alt 0250
&#251;	%fb	û	Alt 0251
&#252;	%fc	ü	Alt 0252
&#253;	%fd	ý	Alt 0253
&#254;	%fe	þ	Alt 0254
&#255;	%ff	ÿ	Alt 0255
&#256;	%100	Ā
&#257;	%101	ā
&#258;	%102	Ă
&#259;	%103	ă
&#260;	%104	Ą
&#261;	%105	ą
&#262;	%106	Ć
&#263;	%107	ć
&#264;	%108	Ĉ
&#265;	%109	ĉ
&#266;	%10a	Ċ
&#267;	%10b	ċ
&#268;	%10c	Č
&#269;	%10d	č
&#270;	%10e	Ď
&#271;	%10f	ď
&#272;	%110	Đ
&#273;	%111	đ
&#274;	%112	Ē
&#275;	%113	ē
&#276;	%114	Ĕ
&#277;	%115	ĕ
&#278;	%116	Ė
&#279;	%117	ė
&#280;	%118	Ę
&#281;	%119	ę
&#282;	%11a	Ě
&#283;	%11b	ě
&#284;	%11c	Ĝ
&#285;	%11d	ĝ
&#286;	%11e	Ğ
&#287;	%11f	ğ
&#288;	%120	Ġ
&#289;	%121	ġ
&#290;	%122	Ģ
&#291;	%123	ģ
&#292;	%124	Ĥ
&#293;	%125	ĥ
&#294;	%126	Ħ
&#295;	%127	ħ
&#296;	%128	Ĩ
&#297;	%129	ĩ
&#298;	%12a	Ī
&#299;	%12b	ī
&#300;	%12c	Ĭ
&#301;	%12d	ĭ
&#302;	%12e	Į
&#303;	%12f	į
&#304;	%130	İ
&#305;	%131	ı
&#306;	%132	Ĳ
&#307;	%133	ĳ
&#308;	%134	Ĵ
&#309;	%135	ĵ
&#310;	%136	Ķ
&#311;	%137	ķ
&#312;	%138	ĸ
&#313;	%139	Ĺ
&#314;	%13a	ĺ
&#315;	%13b	Ļ
&#316;	%13c	ļ
&#317;	%13d	Ľ
&#318;	%13e	ľ
&#319;	%13f	Ŀ
&#320;	%140	ŀ
&#321;	%141	Ł
&#322;	%142	ł
&#323;	%143	Ń
&#324;	%144	ń
&#325;	%145	Ņ
&#326;	%146	ņ
&#327;	%147	Ň
&#328;	%148	ň
&#329;	%149	ŉ
&#330;	%14a	Ŋ
&#331;	%14b	ŋ
&#332;	%14c	Ō
&#333;	%14d	ō
&#334;	%14e	Ŏ
&#335;	%14f	ŏ
&#336;	%150	Ő
&#337;	%151	ő
&#338;	%152	Œ
&#339;	%153	œ
&#340;	%154	Ŕ
&#341;	%155	ŕ
&#342;	%156	Ŗ
&#343;	%157	ŗ
&#344;	%158	Ř
&#345;	%159	ř
&#346;	%15a	Ś
&#347;	%15b	ś
&#348;	%15c	Ŝ
&#349;	%15d	ŝ
&#350;	%15e	Ş
&#351;	%15f	ş
&#352;	%160	Š
&#353;	%161	š
&#354;	%162	Ţ
&#355;	%163	ţ
&#356;	%164	Ť
&#357;	%165	ť
&#358;	%166	Ŧ
&#359;	%167	ŧ
&#360;	%168	Ũ
&#361;	%169	ũ
&#362;	%16a	Ū
&#363;	%16b	ū
&#364;	%16c	Ŭ
&#365;	%16d	ŭ
&#366;	%16e	Ů
&#367;	%16f	ů
&#368;	%170	Ű
&#369;	%171	ű
&#370;	%172	Ų
&#371;	%173	ų
&#372;	%174	Ŵ
&#373;	%175	ŵ
&#374;	%176	Ŷ
&#375;	%177	ŷ
&#376;	%178	Ÿ
&#377;	%179	Ź
&#378;	%17a	ź
&#379;	%17b	Ż
&#380;	%17c	ż
&#381;	%17d	Ž
&#382;	%17e	ž
&#383;	%17f	ſ
&#384;	%180	ƀ
&#385;	%181	Ɓ
&#386;	%182	Ƃ
&#387;	%183	ƃ
&#388;	%184	Ƅ
&#389;	%185	ƅ
&#390;	%186	Ɔ
&#391;	%187	Ƈ
&#392;	%188	ƈ
&#393;	%189	Ɖ
&#394;	%18a	Ɗ
&#395;	%18b	Ƌ
&#396;	%18c	ƌ
&#397;	%18d	ƍ
&#398;	%18e	Ǝ
&#399;	%18f	Ə
&#400;	%190	Ɛ
&#401;	%191	Ƒ
&#402;	%192	ƒ
&#403;	%193	Ɠ
&#404;	%194	Ɣ
&#405;	%195	ƕ
&#406;	%196	Ɩ
&#407;	%197	Ɨ
&#408;	%198	Ƙ
&#409;	%199	ƙ
&#410;	%19a	ƚ
&#411;	%19b	ƛ
&#412;	%19c	Ɯ
&#413;	%19d	Ɲ
&#414;	%19e	ƞ
&#415;	%19f	Ɵ
&#416;	%1a0	Ơ
&#417;	%1a1	ơ
&#418;	%1a2	Ƣ
&#419;	%1a3	ƣ
&#420;	%1a4	Ƥ
&#421;	%1a5	ƥ
&#422;	%1a6	Ʀ
&#423;	%1a7	Ƨ
&#424;	%1a8	ƨ
&#425;	%1a9	Ʃ
&#426;	%1aa	ƪ
&#427;	%1ab	ƫ
&#428;	%1ac	Ƭ
&#429;	%1ad	ƭ
&#430;	%1ae	Ʈ
&#431;	%1af	Ư
&#432;	%1b0	ư
&#433;	%1b1	Ʊ
&#434;	%1b2	Ʋ
&#435;	%1b3	Ƴ
&#436;	%1b4	ƴ
&#437;	%1b5	Ƶ
&#438;	%1b6	ƶ
&#439;	%1b7	Ʒ
&#440;	%1b8	Ƹ
&#441;	%1b9	ƹ
&#442;	%1ba	ƺ
&#443;	%1bb	ƻ
&#444;	%1bc	Ƽ
&#445;	%1bd	ƽ
&#446;	%1be	ƾ
&#447;	%1bf	ƿ
&#448;	%1c0	ǀ
&#449;	%1c1	ǁ
&#450;	%1c2	ǂ
&#451;	%1c3	ǃ
&#452;	%1c4	Ǆ
&#453;	%1c5	ǅ
&#454;	%1c6	ǆ
&#455;	%1c7	Ǉ
&#456;	%1c8	ǈ
&#457;	%1c9	ǉ
&#458;	%1ca	Ǌ
&#459;	%1cb	ǋ
&#460;	%1cc	ǌ
&#461;	%1cd	Ǎ
&#462;	%1ce	ǎ
&#463;	%1cf	Ǐ
&#464;	%1d0	ǐ
&#465;	%1d1	Ǒ
&#466;	%1d2	ǒ
&#467;	%1d3	Ǔ
&#468;	%1d4	ǔ
&#469;	%1d5	Ǖ
&#470;	%1d6	ǖ
&#471;	%1d7	Ǘ
&#472;	%1d8	ǘ
&#473;	%1d9	Ǚ
&#474;	%1da	ǚ
&#475;	%1db	Ǜ
&#476;	%1dc	ǜ
&#477;	%1dd	ǝ
&#478;	%1de	Ǟ
&#479;	%1df	ǟ
&#480;	%1e0	Ǡ
&#481;	%1e1	ǡ
&#482;	%1e2	Ǣ
&#483;	%1e3	ǣ
&#484;	%1e4	Ǥ
&#485;	%1e5	ǥ
&#486;	%1e6	Ǧ
&#487;	%1e7	ǧ
&#488;	%1e8	Ǩ
&#489;	%1e9	ǩ
&#490;	%1ea	Ǫ
&#491;	%1eb	ǫ
&#492;	%1ec	Ǭ
&#493;	%1ed	ǭ
&#494;	%1ee	Ǯ
&#495;	%1ef	ǯ
&#496;	%1f0	ǰ
&#497;	%1f1	Ǳ
&#498;	%1f2	ǲ
&#499;	%1f3	ǳ
&#500;	%1f4	Ǵ
&#501;	%1f5	ǵ
&#502;	%1f6	Ƕ
&#503;	%1f7	Ƿ
&#504;	%1f8	Ǹ
&#505;	%1f9	ǹ
&#506;	%1fa	Ǻ
&#507;	%1fb	ǻ
&#508;	%1fc	Ǽ
&#509;	%1fd	ǽ
&#510;	%1fe	Ǿ
&#511;	%1ff	ǿ
&#512;	%200	Ȁ
&#513;	%201	ȁ
&#514;	%202	Ȃ
&#515;	%203	ȃ
&#516;	%204	Ȅ
&#517;	%205	ȅ
&#518;	%206	Ȇ
&#519;	%207	ȇ
&#520;	%208	Ȉ
&#521;	%209	ȉ
&#522;	%20a	Ȋ
&#523;	%20b	ȋ
&#524;	%20c	Ȍ
&#525;	%20d	ȍ
&#526;	%20e	Ȏ
&#527;	%20f	ȏ
&#528;	%210	Ȑ
&#529;	%211	ȑ
&#530;	%212	Ȓ
&#531;	%213	ȓ
&#532;	%214	Ȕ
&#533;	%215	ȕ
&#534;	%216	Ȗ
&#535;	%217	ȗ
&#536;	%218	Ș
&#537;	%219	ș
&#538;	%21a	Ț
&#539;	%21b	ț
&#540;	%21c	Ȝ
&#541;	%21d	ȝ
&#542;	%21e	Ȟ
&#543;	%21f	ȟ
&#544;	%220	Ƞ
&#545;	%221	ȡ
&#546;	%222	Ȣ
&#547;	%223	ȣ
&#548;	%224	Ȥ
&#549;	%225	ȥ
&#550;	%226	Ȧ
&#551;	%227	ȧ
&#552;	%228	Ȩ
&#553;	%229	ȩ
&#554;	%22a	Ȫ
&#555;	%22b	ȫ
&#556;	%22c	Ȭ
&#557;	%22d	ȭ
&#558;	%22e	Ȯ
&#559;	%22f	ȯ
&#560;	%230	Ȱ
&#561;	%231	ȱ
&#562;	%232	Ȳ
&#563;	%233	ȳ
&#564;	%234	ȴ
&#565;	%235	ȵ
&#566;	%236	ȶ
&#567;	%237	ȷ
&#568;	%238	ȸ
&#569;	%239	ȹ
&#570;	%23a	Ⱥ
&#571;	%23b	Ȼ
&#572;	%23c	ȼ
&#573;	%23d	Ƚ
&#574;	%23e	Ⱦ
&#575;	%23f	ȿ
&#576;	%240	ɀ
&#577;	%241	Ɂ
&#578;	%242	ɂ
&#579;	%243	Ƀ
&#580;	%244	Ʉ
&#581;	%245	Ʌ
&#582;	%246	Ɇ
&#583;	%247	ɇ
&#584;	%248	Ɉ
&#585;	%249	ɉ
&#586;	%24a	Ɋ
&#587;	%24b	ɋ
&#588;	%24c	Ɍ
&#589;	%24d	ɍ
&#590;	%24e	Ɏ
&#591;	%24f	ɏ
&#592;	%250	ɐ
&#593;	%251	ɑ
&#594;	%252	ɒ
&#595;	%253	ɓ
&#596;	%254	ɔ
&#597;	%255	ɕ
&#598;	%256	ɖ
&#599;	%257	ɗ
&#600;	%258	ɘ
&#601;	%259	ə
&#602;	%25a	ɚ
&#603;	%25b	ɛ
&#604;	%25c	ɜ
&#605;	%25d	ɝ
&#606;	%25e	ɞ
&#607;	%25f	ɟ
&#608;	%260	ɠ
&#609;	%261	ɡ
&#610;	%262	ɢ
&#611;	%263	ɣ
&#612;	%264	ɤ
&#613;	%265	ɥ
&#614;	%266	ɦ
&#615;	%267	ɧ
&#616;	%268	ɨ
&#617;	%269	ɩ
&#618;	%26a	ɪ
&#619;	%26b	ɫ
&#620;	%26c	ɬ
&#621;	%26d	ɭ
&#622;	%26e	ɮ
&#623;	%26f	ɯ
&#624;	%270	ɰ
&#625;	%271	ɱ
&#626;	%272	ɲ
&#627;	%273	ɳ
&#628;	%274	ɴ
&#629;	%275	ɵ
&#630;	%276	ɶ
&#631;	%277	ɷ
&#632;	%278	ɸ
&#633;	%279	ɹ
&#634;	%27a	ɺ
&#635;	%27b	ɻ
&#636;	%27c	ɼ
&#637;	%27d	ɽ
&#638;	%27e	ɾ
&#639;	%27f	ɿ
&#640;	%280	ʀ
&#641;	%281	ʁ
&#642;	%282	ʂ
&#643;	%283	ʃ
&#644;	%284	ʄ
&#645;	%285	ʅ
&#646;	%286	ʆ
&#647;	%287	ʇ
&#648;	%288	ʈ
&#649;	%289	ʉ
&#650;	%28a	ʊ
&#651;	%28b	ʋ
&#652;	%28c	ʌ
&#653;	%28d	ʍ
&#654;	%28e	ʎ
&#655;	%28f	ʏ
&#656;	%290	ʐ
&#657;	%291	ʑ
&#658;	%292	ʒ
&#659;	%293	ʓ
&#660;	%294	ʔ
&#661;	%295	ʕ
&#662;	%296	ʖ
&#663;	%297	ʗ
&#664;	%298	ʘ
&#665;	%299	ʙ
&#666;	%29a	ʚ
&#667;	%29b	ʛ
&#668;	%29c	ʜ
&#669;	%29d	ʝ
&#670;	%29e	ʞ
&#671;	%29f	ʟ
&#672;	%2a0	ʠ
&#673;	%2a1	ʡ
&#674;	%2a2	ʢ
&#675;	%2a3	ʣ
&#676;	%2a4	ʤ
&#677;	%2a5	ʥ
&#678;	%2a6	ʦ
&#679;	%2a7	ʧ
&#680;	%2a8	ʨ
&#681;	%2a9	ʩ
&#682;	%2aa	ʪ
&#683;	%2ab	ʫ
&#684;	%2ac	ʬ
&#685;	%2ad	ʭ
&#686;	%2ae	ʮ
&#687;	%2af	ʯ
&#688;	%2b0	ʰ
&#689;	%2b1	ʱ
&#690;	%2b2	ʲ
&#691;	%2b3	ʳ
&#692;	%2b4	ʴ
&#693;	%2b5	ʵ
&#694;	%2b6	ʶ
&#695;	%2b7	ʷ
&#696;	%2b8	ʸ
&#697;	%2b9	ʹ
&#698;	%2ba	ʺ
&#699;	%2bb	ʻ
&#700;	%2bc	ʼ
&#701;	%2bd	ʽ
&#702;	%2be	ʾ
&#703;	%2bf	ʿ
&#704;	%2c0	ˀ
&#705;	%2c1	ˁ
&#706;	%2c2	˂
&#707;	%2c3	˃
&#708;	%2c4	˄
&#709;	%2c5	˅
&#710;	%2c6	ˆ
&#711;	%2c7	ˇ
&#712;	%2c8	ˈ
&#713;	%2c9	ˉ
&#714;	%2ca	ˊ
&#715;	%2cb	ˋ
&#716;	%2cc	ˌ
&#717;	%2cd	ˍ
&#718;	%2ce	ˎ
&#719;	%2cf	ˏ
&#720;	%2d0	ː
&#721;	%2d1	ˑ
&#722;	%2d2	˒
&#723;	%2d3	˓
&#724;	%2d4	˔
&#725;	%2d5	˕
&#726;	%2d6	˖
&#727;	%2d7	˗
&#728;	%2d8	˘
&#729;	%2d9	˙
&#730;	%2da	˚
&#731;	%2db	˛
&#732;	%2dc	˜
&#733;	%2dd	˝
&#734;	%2de	˞
&#735;	%2df	˟
&#736;	%2e0	ˠ
&#737;	%2e1	ˡ
&#738;	%2e2	ˢ
&#739;	%2e3	ˣ
&#740;	%2e4	ˤ
&#741;	%2e5	˥
&#742;	%2e6	˦
&#743;	%2e7	˧
&#744;	%2e8	˨
&#745;	%2e9	˩
&#746;	%2ea	˪
&#747;	%2eb	˫
&#748;	%2ec	ˬ
&#749;	%2ed	˭
&#750;	%2ee	ˮ
&#751;	%2ef	˯
&#752;	%2f0	˰
&#753;	%2f1	˱
&#754;	%2f2	˲
&#755;	%2f3	˳
&#756;	%2f4	˴
&#757;	%2f5	˵
&#758;	%2f6	˶
&#759;	%2f7	˷
&#760;	%2f8	˸
&#761;	%2f9	˹
&#762;	%2fa	˺
&#763;	%2fb	˻
&#764;	%2fc	˼
&#765;	%2fd	˽
&#766;	%2fe	˾
&#767;	%2ff	˿
&#768;	%300	̀
&#769;	%301	́
&#770;	%302	̂
&#771;	%303	̃
&#772;	%304	̄
&#773;	%305	̅
&#774;	%306	̆
&#775;	%307	̇
&#776;	%308	̈
&#777;	%309	̉
&#778;	%30a	̊
&#779;	%30b	̋
&#780;	%30c	̌
&#781;	%30d	̍
&#782;	%30e	̎
&#783;	%30f	̏
&#784;	%310	̐
&#785;	%311	̑
&#786;	%312	̒
&#787;	%313	̓
&#788;	%314	̔
&#789;	%315	̕
&#790;	%316	̖
&#791;	%317	̗
&#792;	%318	̘
&#793;	%319	̙
&#794;	%31a	̚
&#795;	%31b	̛
&#796;	%31c	̜
&#797;	%31d	̝
&#798;	%31e	̞
&#799;	%31f	̟
&#800;	%320	̠
&#801;	%321	̡
&#802;	%322	̢
&#803;	%323	̣
&#804;	%324	̤
&#805;	%325	̥
&#806;	%326	̦
&#807;	%327	̧
&#808;	%328	̨
&#809;	%329	̩
&#810;	%32a	̪
&#811;	%32b	̫
&#812;	%32c	̬
&#813;	%32d	̭
&#814;	%32e	̮
&#815;	%32f	̯
&#816;	%330	̰
&#817;	%331	̱
&#818;	%332	̲
&#819;	%333	̳
&#820;	%334	̴
&#821;	%335	̵
&#822;	%336	̶
&#823;	%337	̷
&#824;	%338	̸
&#825;	%339	̹
&#826;	%33a	̺
&#827;	%33b	̻
&#828;	%33c	̼
&#829;	%33d	̽
&#830;	%33e	̾
&#831;	%33f	̿
&#832;	%340	̀
&#833;	%341	́
&#834;	%342	͂
&#835;	%343	̓
&#836;	%344	̈́
&#837;	%345	ͅ
&#838;	%346	͆
&#839;	%347	͇
&#840;	%348	͈
&#841;	%349	͉
&#842;	%34a	͊
&#843;	%34b	͋
&#844;	%34c	͌
&#845;	%34d	͍
&#846;	%34e	͎
&#847;	%34f	͏
&#848;	%350	͐
&#849;	%351	͑
&#850;	%352	͒
&#851;	%353	͓
&#852;	%354	͔
&#853;	%355	͕
&#854;	%356	͖
&#855;	%357	͗
&#856;	%358	͘
&#857;	%359	͙
&#858;	%35a	͚
&#859;	%35b	͛
&#860;	%35c	͜
&#861;	%35d	͝
&#862;	%35e	͞
&#863;	%35f	͟
&#864;	%360	͠
&#865;	%361	͡
&#866;	%362	͢
&#867;	%363	ͣ
&#868;	%364	ͤ
&#869;	%365	ͥ
&#870;	%366	ͦ
&#871;	%367	ͧ
&#872;	%368	ͨ
&#873;	%369	ͩ
&#874;	%36a	ͪ
&#875;	%36b	ͫ
&#876;	%36c	ͬ
&#877;	%36d	ͭ
&#878;	%36e	ͮ
&#879;	%36f	ͯ
&#880;	%370	Ͱ
&#881;	%371	ͱ
&#882;	%372	Ͳ
&#883;	%373	ͳ
&#884;	%374	ʹ
&#885;	%375	͵
&#886;	%376	Ͷ
&#887;	%377	ͷ
&#888;	%378	͸
&#889;	%379	͹
&#890;	%37a	ͺ
&#891;	%37b	ͻ
&#892;	%37c	ͼ
&#893;	%37d	ͽ
&#894;	%37e	;
&#895;	%37f	Ϳ
&#896;	%380	΀
&#897;	%381	΁
&#898;	%382	΂
&#899;	%383	΃
&#900;	%384	΄
&#901;	%385	΅
&#902;	%386	Ά
&#903;	%387	·
&#904;	%388	Έ
&#905;	%389	Ή
&#906;	%38a	Ί
&#907;	%38b	΋
&#908;	%38c	Ό
&#909;	%38d	΍
&#910;	%38e	Ύ
&#911;	%38f	Ώ
&#912;	%390	ΐ
&#913;	%391	Α
&#914;	%392	Β
&#915;	%393	Γ
&#916;	%394	Δ
&#917;	%395	Ε
&#918;	%396	Ζ
&#919;	%397	Η
&#920;	%398	Θ
&#921;	%399	Ι
&#922;	%39a	Κ
&#923;	%39b	Λ
&#924;	%39c	Μ
&#925;	%39d	Ν
&#926;	%39e	Ξ
&#927;	%39f	Ο
&#928;	%3a0	Π
&#929;	%3a1	Ρ
&#930;	%3a2	΢
&#931;	%3a3	Σ
&#932;	%3a4	Τ
&#933;	%3a5	Υ
&#934;	%3a6	Φ
&#935;	%3a7	Χ
&#936;	%3a8	Ψ
&#937;	%3a9	Ω
&#938;	%3aa	Ϊ
&#939;	%3ab	Ϋ
&#940;	%3ac	ά
&#941;	%3ad	έ
&#942;	%3ae	ή
&#943;	%3af	ί
&#944;	%3b0	ΰ
&#945;	%3b1	α
&#946;	%3b2	β
&#947;	%3b3	γ
&#948;	%3b4	δ
&#949;	%3b5	ε
&#950;	%3b6	ζ
&#951;	%3b7	η
&#952;	%3b8	θ
&#953;	%3b9	ι
&#954;	%3ba	κ
&#955;	%3bb	λ
&#956;	%3bc	μ
&#957;	%3bd	ν
&#958;	%3be	ξ
&#959;	%3bf	ο
&#960;	%3c0	π
&#961;	%3c1	ρ
&#962;	%3c2	ς
&#963;	%3c3	σ
&#964;	%3c4	τ
&#965;	%3c5	υ
&#966;	%3c6	φ
&#967;	%3c7	χ
&#968;	%3c8	ψ
&#969;	%3c9	ω
&#970;	%3ca	ϊ
&#971;	%3cb	ϋ
&#972;	%3cc	ό
&#973;	%3cd	ύ
&#974;	%3ce	ώ
&#975;	%3cf	Ϗ
&#976;	%3d0	ϐ
&#977;	%3d1	ϑ
&#978;	%3d2	ϒ
&#979;	%3d3	ϓ
&#980;	%3d4	ϔ
&#981;	%3d5	ϕ
&#982;	%3d6	ϖ
&#983;	%3d7	ϗ
&#984;	%3d8	Ϙ
&#985;	%3d9	ϙ
&#986;	%3da	Ϛ
&#987;	%3db	ϛ
&#988;	%3dc	Ϝ
&#989;	%3dd	ϝ
&#990;	%3de	Ϟ
&#991;	%3df	ϟ
&#992;	%3e0	Ϡ
&#993;	%3e1	ϡ
&#994;	%3e2	Ϣ
&#995;	%3e3	ϣ
&#996;	%3e4	Ϥ
&#997;	%3e5	ϥ
